data,concelho,var,n
2008/4 Trimestre,Odivelas,Preço de Venda / m2,1525
2008/4 Trimestre,Almada,Preço de Venda / m2,1476
2008/4 Trimestre,Seixal,Preço de Venda / m2,1332
2008/4 Trimestre,Sesimbra,Preço de Venda / m2,1122
2008/4 Trimestre,Setúbal,Preço de Venda / m2,1167
2008/4 Trimestre,Gondomar,Preço de Venda / m2,1003
2008/4 Trimestre,Maia,Preço de Venda / m2,1027
2008/4 Trimestre,Matosinhos,Preço de Venda / m2,1340
2008/4 Trimestre,Porto,Preço de Venda / m2,1937
2008/4 Trimestre,Vila Nova de Gaia,Preço de Venda / m2,1192
2008/4 Trimestre,Cascais,Fogos Vendidos,857
2008/4 Trimestre,Lisboa,Fogos Vendidos,2749
2008/4 Trimestre,Loures,Fogos Vendidos,644
2008/4 Trimestre,Mafra,Fogos Vendidos,419
2008/4 Trimestre,Oeiras,Fogos Vendidos,1404
2008/4 Trimestre,Sintra,Fogos Vendidos,1380
2008/4 Trimestre,Vila Franca de Xira,Fogos Vendidos,472
2008/4 Trimestre,Amadora,Fogos Vendidos,707
2008/4 Trimestre,Odivelas,Fogos Vendidos,502
2008/4 Trimestre,Gondomar,Fogos Vendidos,459
2008/4 Trimestre,Maia,Fogos Vendidos,479
2008/4 Trimestre,Matosinhos,Fogos Vendidos,751
2008/4 Trimestre,Porto,Fogos Vendidos,1620
2008/4 Trimestre,Vila Nova de Gaia,Fogos Vendidos,1712
2008/4 Trimestre,Almada,Fogos Vendidos,761
2008/4 Trimestre,Seixal,Fogos Vendidos,765
2008/4 Trimestre,Sesimbra,Fogos Vendidos,275
2008/4 Trimestre,Setúbal,Fogos Vendidos,583
2009/1 Trimestre,Cascais,Preço de Venda / m2,2084
2009/1 Trimestre,Lisboa,Preço de Venda / m2,2019
2009/1 Trimestre,Loures,Preço de Venda / m2,1159
2009/1 Trimestre,Oeiras,Preço de Venda / m2,1739
2009/1 Trimestre,Sintra,Preço de Venda / m2,1105
2009/1 Trimestre,Vila Franca de Xira,Preço de Venda / m2,1607
2009/1 Trimestre,Amadora,Preço de Venda / m2,1296
2009/1 Trimestre,Odivelas,Preço de Venda / m2,1349
2009/1 Trimestre,Almada,Preço de Venda / m2,1725
2009/1 Trimestre,Seixal,Preço de Venda / m2,1173
2009/1 Trimestre,Sesimbra,Preço de Venda / m2,1025
2009/1 Trimestre,Setúbal,Preço de Venda / m2,1131
2009/1 Trimestre,Maia,Preço de Venda / m2,1074
2009/1 Trimestre,Matosinhos,Preço de Venda / m2,1069
2009/1 Trimestre,Porto,Preço de Venda / m2,1955
2009/1 Trimestre,Vila Nova de Gaia,Preço de Venda / m2,1190
2009/1 Trimestre,Cascais,Fogos Vendidos,459
2009/1 Trimestre,Lisboa,Fogos Vendidos,1480
2009/1 Trimestre,Loures,Fogos Vendidos,444
2009/1 Trimestre,Oeiras,Fogos Vendidos,332
2009/1 Trimestre,Sintra,Fogos Vendidos,694
2009/1 Trimestre,Vila Franca de Xira,Fogos Vendidos,289
2009/1 Trimestre,Amadora,Fogos Vendidos,351
2009/1 Trimestre,Odivelas,Fogos Vendidos,266
2009/1 Trimestre,Maia,Fogos Vendidos,326
2009/1 Trimestre,Matosinhos,Fogos Vendidos,374
2009/1 Trimestre,Porto,Fogos Vendidos,972
2009/1 Trimestre,Vila Nova de Gaia,Fogos Vendidos,831
2009/1 Trimestre,Almada,Fogos Vendidos,438
2009/1 Trimestre,Seixal,Fogos Vendidos,378
2009/1 Trimestre,Sesimbra,Fogos Vendidos,161
2009/1 Trimestre,Setúbal,Fogos Vendidos,324
2009/2 Trimestre,Cascais,Preço de Venda / m2,2618
2009/2 Trimestre,Lisboa,Preço de Venda / m2,2117
2009/2 Trimestre,Loures,Preço de Venda / m2,1268
2009/2 Trimestre,Mafra,Preço de Venda / m2,1043
2009/2 Trimestre,Oeiras,Preço de Venda / m2,1675
2009/2 Trimestre,Sintra,Preço de Venda / m2,1116
2009/2 Trimestre,Vila Franca de Xira,Preço de Venda / m2,1407
2009/2 Trimestre,Amadora,Preço de Venda / m2,1225
2009/2 Trimestre,Odivelas,Preço de Venda / m2,1288
2009/2 Trimestre,Almada,Preço de Venda / m2,1090
2009/2 Trimestre,Seixal,Preço de Venda / m2,1376
2009/2 Trimestre,Sesimbra,Preço de Venda / m2,893
2009/2 Trimestre,Setúbal,Preço de Venda / m2,1234
2009/2 Trimestre,Gondomar,Preço de Venda / m2,628
2009/2 Trimestre,Matosinhos,Preço de Venda / m2,1504
2009/2 Trimestre,Porto,Preço de Venda / m2,1868
2009/2 Trimestre,Vila Nova de Gaia,Preço de Venda / m2,1106
2009/2 Trimestre,Cascais,Fogos Vendidos,533
2009/2 Trimestre,Lisboa,Fogos Vendidos,1694
2009/2 Trimestre,Loures,Fogos Vendidos,429
2009/2 Trimestre,Mafra,Fogos Vendidos,229
2009/2 Trimestre,Oeiras,Fogos Vendidos,454
2009/2 Trimestre,Sintra,Fogos Vendidos,862
2009/2 Trimestre,Vila Franca de Xira,Fogos Vendidos,343
2009/2 Trimestre,Amadora,Fogos Vendidos,459
2009/2 Trimestre,Odivelas,Fogos Vendidos,418
2009/2 Trimestre,Gondomar,Fogos Vendidos,352
2009/2 Trimestre,Matosinhos,Fogos Vendidos,459
2009/2 Trimestre,Porto,Fogos Vendidos,981
2009/2 Trimestre,Vila Nova de Gaia,Fogos Vendidos,941
2009/2 Trimestre,Almada,Fogos Vendidos,476
2009/2 Trimestre,Seixal,Fogos Vendidos,432
2009/2 Trimestre,Sesimbra,Fogos Vendidos,185
2009/2 Trimestre,Setúbal,Fogos Vendidos,292
2009/3 Trimestre,Cascais,Preço de Venda / m2,2821
2009/3 Trimestre,Lisboa,Preço de Venda / m2,1901
2009/3 Trimestre,Loures,Preço de Venda / m2,1278
2009/3 Trimestre,Oeiras,Preço de Venda / m2,1568
2009/3 Trimestre,Sintra,Preço de Venda / m2,1195
2009/3 Trimestre,Vila Franca de Xira,Preço de Venda / m2,1599
2009/3 Trimestre,Amadora,Preço de Venda / m2,1183
2009/3 Trimestre,Odivelas,Preço de Venda / m2,1327
2009/3 Trimestre,Almada,Preço de Venda / m2,1163
2009/3 Trimestre,Seixal,Preço de Venda / m2,1491
2009/3 Trimestre,Setúbal,Preço de Venda / m2,1042
2009/3 Trimestre,Espinho,Preço de Venda / m2,1092
2009/3 Trimestre,Maia,Preço de Venda / m2,1061
2009/3 Trimestre,Matosinhos,Preço de Venda / m2,1312
2009/3 Trimestre,Porto,Preço de Venda / m2,1706
2009/3 Trimestre,Valongo,Preço de Venda / m2,975
2009/3 Trimestre,Vila Nova de Gaia,Preço de Venda / m2,1191
2009/3 Trimestre,Espinho,Fogos Vendidos,56
2009/3 Trimestre,Cascais,Fogos Vendidos,632
2009/3 Trimestre,Lisboa,Fogos Vendidos,2001
2009/3 Trimestre,Loures,Fogos Vendidos,466
2009/3 Trimestre,Oeiras,Fogos Vendidos,496
2009/3 Trimestre,Sintra,Fogos Vendidos,968
2009/3 Trimestre,Vila Franca de Xira,Fogos Vendidos,343
2009/3 Trimestre,Amadora,Fogos Vendidos,497
2009/3 Trimestre,Odivelas,Fogos Vendidos,423
2009/3 Trimestre,Maia,Fogos Vendidos,401
2009/3 Trimestre,Matosinhos,Fogos Vendidos,558
2009/3 Trimestre,Porto,Fogos Vendidos,1073
2009/3 Trimestre,Valongo,Fogos Vendidos,271
2009/3 Trimestre,Vila Nova de Gaia,Fogos Vendidos,1086
2009/3 Trimestre,Almada,Fogos Vendidos,578
2009/3 Trimestre,Seixal,Fogos Vendidos,496
2009/3 Trimestre,Setúbal,Fogos Vendidos,335
2009/4 Trimestre,Cascais,Preço de Venda / m2,1686
2009/4 Trimestre,Lisboa,Preço de Venda / m2,2274
2009/4 Trimestre,Loures,Preço de Venda / m2,1403
2009/4 Trimestre,Mafra,Preço de Venda / m2,1224
2009/4 Trimestre,Oeiras,Preço de Venda / m2,1553
2009/4 Trimestre,Sintra,Preço de Venda / m2,1102
2009/4 Trimestre,Vila Franca de Xira,Preço de Venda / m2,1457
2009/4 Trimestre,Amadora,Preço de Venda / m2,1395
2009/4 Trimestre,Odivelas,Preço de Venda / m2,1234
2009/4 Trimestre,Almada,Preço de Venda / m2,1233
2009/4 Trimestre,Barreiro,Preço de Venda / m2,1358
2009/4 Trimestre,Moita,Preço de Venda / m2,696
2009/4 Trimestre,Palmela,Preço de Venda / m2,1038
2009/4 Trimestre,Seixal,Preço de Venda / m2,1114
2009/4 Trimestre,Sesimbra,Preço de Venda / m2,976
2009/4 Trimestre,Setúbal,Preço de Venda / m2,995
2009/4 Trimestre,Espinho,Preço de Venda / m2,1124
2009/4 Trimestre,Maia,Preço de Venda / m2,1371
2009/4 Trimestre,Matosinhos,Preço de Venda / m2,1434
2009/4 Trimestre,Porto,Preço de Venda / m2,1697
2009/4 Trimestre,Póvoa de Varzim,Preço de Venda / m2,985
2009/4 Trimestre,Vila Nova de Gaia,Preço de Venda / m2,1277
2009/4 Trimestre,Espinho,Fogos Vendidos,62
2009/4 Trimestre,Cascais,Fogos Vendidos,755
2009/4 Trimestre,Lisboa,Fogos Vendidos,2300
2009/4 Trimestre,Loures,Fogos Vendidos,510
2009/4 Trimestre,Mafra,Fogos Vendidos,260
2009/4 Trimestre,Oeiras,Fogos Vendidos,472
2009/4 Trimestre,Sintra,Fogos Vendidos,976
2009/4 Trimestre,Vila Franca de Xira,Fogos Vendidos,362
2009/4 Trimestre,Amadora,Fogos Vendidos,461
2009/4 Trimestre,Odivelas,Fogos Vendidos,323
2009/4 Trimestre,Maia,Fogos Vendidos,444
2009/4 Trimestre,Matosinhos,Fogos Vendidos,673
2009/4 Trimestre,Porto,Fogos Vendidos,1157
2009/4 Trimestre,Póvoa de Varzim,Fogos Vendidos,189
2009/4 Trimestre,Vila Nova de Gaia,Fogos Vendidos,1065
2009/4 Trimestre,Almada,Fogos Vendidos,537
2009/4 Trimestre,Barreiro,Fogos Vendidos,190
2009/4 Trimestre,Moita,Fogos Vendidos,161
2009/4 Trimestre,Palmela,Fogos Vendidos,204
2009/4 Trimestre,Seixal,Fogos Vendidos,466
2009/4 Trimestre,Sesimbra,Fogos Vendidos,271
2009/4 Trimestre,Setúbal,Fogos Vendidos,301
2010/1 Trimestre,Cascais,Preço de Venda / m2,1709
2010/1 Trimestre,Lisboa,Preço de Venda / m2,2218
